cluster
row,"['AST_VAR', 'dfsms/profile.php', 85, 'AST_VAR', 'dfsms/profile.php', 91, 'AST_VAR', 'dfsms/profile.php', 94, 'AST_VAR', 'dfsms/profile.php', 98, 'AST_VAR', 'dfsms/profile.php', 105, 'AST_VAR', 'dfsms/profile.php', 113, 'AST_VAR', 'dfsms/profile.php', 120, 'AST_VAR', 'dfsms/profile.php', 128, 'AST_VAR', 'dfsms/sales-report-details.php', 88, 'AST_VAR', 'dfsms/sales-report-details.php', 93, 'AST_VAR', 'dfsms/sales-report-details.php', 93, 'AST_VAR', 'dfsms/sales-report-details.php', 94, 'AST_VAR', 'dfsms/add-product.php', 92, 'AST_VAR', 'dfsms/add-product.php', 94, 'AST_VAR', 'dfsms/add-product.php', 94, 'AST_VAR', 'dfsms/add-product.php', 108, 'AST_VAR', 'dfsms/add-product.php', 110, 'AST_VAR', 'dfsms/add-product.php', 110, 'AST_VAR', 'dfsms/bwdate-report-details.php', 92, 'AST_VAR', 'dfsms/bwdate-report-details.php', 97, 'AST_VAR', 'dfsms/bwdate-report-details.php', 98, 'AST_VAR', 'dfsms/bwdate-report-details.php', 99, 'AST_VAR', 'dfsms/bwdate-report-details.php', 100, 'AST_VAR', 'dfsms/bwdate-report-details.php', 101, 'AST_VAR', 'dfsms/bwdate-report-details.php', 103, 'AST_VAR', 'dfsms/invoice.php', 79, 'AST_VAR', 'dfsms/invoice.php', 84, 'AST_VAR', 'dfsms/invoice.php', 85, 'AST_VAR', 'dfsms/invoice.php', 86, 'AST_VAR', 'dfsms/invoice.php', 87, 'AST_VAR', 'dfsms/invoice.php', 88, 'AST_VAR', 'dfsms/invoice.php', 118, 'AST_VAR', 'dfsms/invoice.php', 123, 'AST_VAR', 'dfsms/invoice.php', 124, 'AST_VAR', 'dfsms/invoice.php', 125, 'AST_VAR', 'dfsms/invoice.php', 126, 'AST_VAR', 'dfsms/invoice.php', 127, 'AST_VAR', 'dfsms/invoices.php', 86, 'AST_VAR', 'dfsms/invoices.php', 91, 'AST_VAR', 'dfsms/invoices.php', 92, 'AST_VAR', 'dfsms/invoices.php', 93, 'AST_VAR', 'dfsms/invoices.php', 94, 'AST_VAR', 'dfsms/invoices.php', 95, 'AST_VAR', 'dfsms/invoices.php', 97, 'AST_VAR', 'dfsms/manage-categories.php', 84, 'AST_VAR', 'dfsms/manage-categories.php', 89, 'AST_VAR', 'dfsms/manage-categories.php', 90, 'AST_VAR', 'dfsms/manage-categories.php', 91, 'AST_VAR', 'dfsms/manage-categories.php', 93, 'AST_VAR', 'dfsms/manage-categories.php', 94, 'AST_VAR', 'dfsms/edit-category.php', 75, 'AST_VAR', 'dfsms/edit-category.php', 80, 'AST_VAR', 'dfsms/edit-category.php', 88, 'AST_VAR', 'dfsms/edit-company.php', 81, 'AST_VAR', 'dfsms/edit-company.php', 87, 'AST_VAR', 'dfsms/edit-product.php', 91, 'AST_VAR', 'dfsms/edit-product.php', 93, 'AST_VAR', 'dfsms/edit-product.php', 93, 'AST_VAR', 'dfsms/manage-companies.php', 84, 'AST_VAR', 'dfsms/manage-companies.php', 89, 'AST_VAR', 'dfsms/manage-companies.php', 90, 'AST_VAR', 'dfsms/manage-companies.php', 92, 'AST_VAR', 'dfsms/manage-companies.php', 93, 'AST_VAR', 'dfsms/manage-products.php', 87, 'AST_VAR', 'dfsms/manage-products.php', 88, 'AST_VAR', 'dfsms/manage-products.php', 89, 'AST_VAR', 'dfsms/manage-products.php', 91, 'AST_VAR', 'dfsms/manage-products.php', 80, 'AST_VAR', 'dfsms/manage-products.php', 85, 'AST_VAR', 'dfsms/manage-products.php', 86, 'AST_VAR', 'dfsms/change-password.php', 15, 'AST_VAR', 'dfsms/change-password.php', 16, 'AST_VAR', 'dfsms/dashboard.php', 112, 'AST_VAR', 'dfsms/dashboard.php', 125, 'AST_VAR', 'dfsms/dashboard.php', 134, 'AST_VAR', 'dfsms/dashboard.php', 147, 'AST_VAR', 'dfsms/includes/navbar.php', 20, 'AST_VAR', 'dfsms/includes/navbar.php', 23, 'AST_VAR', 'dfsms/view-invoice.php', 80, 'AST_VAR', 'dfsms/view-invoice.php', 85, 'AST_VAR', 'dfsms/view-invoice.php', 86, 'AST_VAR', 'dfsms/view-invoice.php', 87, 'AST_VAR', 'dfsms/view-invoice.php', 88, 'AST_VAR', 'dfsms/view-invoice.php', 89, 'AST_VAR', 'dfsms/view-invoice.php', 119, 'AST_VAR', 'dfsms/view-invoice.php', 124, 'AST_VAR', 'dfsms/view-invoice.php', 125, 'AST_VAR', 'dfsms/view-invoice.php', 126, 'AST_VAR', 'dfsms/view-invoice.php', 127, 'AST_VAR', 'dfsms/view-invoice.php', 128, 'AST_VAR', 'dfsms/search-product.php', 175, 'AST_VAR', 'dfsms/search-product.php', 178, 'AST_VAR', 'dfsms/search-product.php', 181, 'AST_VAR', 'dfsms/search-product.php', 182, 'AST_VAR', 'dfsms/search-product.php', 183, 'AST_VAR', 'dfsms/search-product.php', 184]"
mysqli_fetch_array,"['AST_NAME', 'dfsms/profile.php', 85, 'AST_NAME', 'dfsms/sales-report-details.php', 88, 'AST_NAME', 'dfsms/add-product.php', 92, 'AST_NAME', 'dfsms/add-product.php', 108, 'AST_NAME', 'dfsms/bwdate-report-details.php', 92, 'AST_NAME', 'dfsms/invoice.php', 79, 'AST_NAME', 'dfsms/invoice.php', 118, 'AST_NAME', 'dfsms/invoices.php', 86, 'AST_NAME', 'dfsms/manage-categories.php', 84, 'AST_NAME', 'dfsms/edit-category.php', 75, 'AST_NAME', 'dfsms/edit-company.php', 81, 'AST_NAME', 'dfsms/edit-product.php', 81, 'AST_NAME', 'dfsms/edit-product.php', 91, 'AST_NAME', 'dfsms/edit-product.php', 107, 'AST_NAME', 'dfsms/manage-companies.php', 84, 'AST_NAME', 'dfsms/manage-products.php', 80, 'AST_NAME', 'dfsms/change-password.php', 15, 'AST_NAME', 'dfsms/dashboard.php', 112, 'AST_NAME', 'dfsms/dashboard.php', 134, 'AST_NAME', 'dfsms/dashboard.php', 156, 'AST_NAME', 'dfsms/dashboard.php', 178, 'AST_NAME', 'dfsms/includes/navbar.php', 20, 'AST_NAME', 'dfsms/index.php', 10, 'AST_NAME', 'dfsms/view-invoice.php', 80, 'AST_NAME', 'dfsms/view-invoice.php', 119, 'AST_NAME', 'dfsms/search-product.php', 175, 'AST_NAME', 'dfsms/search-product.php', 17]"
AdminRegdate,"['AST_DIM', 'dfsms/profile.php', 91]"
UpdationDate,"['AST_DIM', 'dfsms/profile.php', 94, 'AST_DIM', 'dfsms/profile.php', 98]"
AdminName,"['AST_DIM', 'dfsms/profile.php', 105, 'AST_DIM', 'dfsms/includes/navbar.php', 23]"
UserName,"['AST_DIM', 'dfsms/profile.php', 113]"
Email,"['AST_DIM', 'dfsms/profile.php', 120]"
MobileNumber,"['AST_DIM', 'dfsms/profile.php', 128]"
_GET,"['AST_VAR', 'dfsms/sales-report-details.php', 9, 'AST_VAR', 'dfsms/sales-report-details.php', 10, 'AST_VAR', 'dfsms/bwdate-report-details.php', 9, 'AST_VAR', 'dfsms/bwdate-report-details.php', 10, 'AST_VAR', 'dfsms/invoice.php', 9, 'AST_VAR', 'dfsms/invoice.php', 10, 'AST_VAR', 'dfsms/invoices.php', 9, 'AST_VAR', 'dfsms/invoices.php', 10, 'AST_VAR', 'dfsms/manage-categories.php', 9, 'AST_VAR', 'dfsms/manage-categories.php', 10, 'AST_VAR', 'dfsms/edit-category.php', 11, 'AST_VAR', 'dfsms/edit-category.php', 72, 'AST_VAR', 'dfsms/edit-company.php', 11, 'AST_VAR', 'dfsms/edit-company.php', 78, 'AST_VAR', 'dfsms/edit-product.php', 11, 'AST_VAR', 'dfsms/edit-product.php', 79, 'AST_VAR', 'dfsms/manage-companies.php', 9, 'AST_VAR', 'dfsms/manage-companies.php', 10, 'AST_VAR', 'dfsms/view-invoice.php', 9, 'AST_VAR', 'dfsms/view-invoice.php', 10, 'AST_VAR', 'dfsms/view-invoice.php', 77, 'AST_VAR', 'dfsms/search-product.php', 9, 'AST_VAR', 'dfsms/search-product.php', 10, 'AST_VAR', 'dfsms/search-product.php', 15, 'AST_VAR', 'dfsms/search-product.php', 43]"
del,"['AST_DIM', 'dfsms/sales-report-details.php', 9, 'AST_DIM', 'dfsms/sales-report-details.php', 10, 'AST_DIM', 'dfsms/bwdate-report-details.php', 9, 'AST_DIM', 'dfsms/bwdate-report-details.php', 10, 'AST_DIM', 'dfsms/invoice.php', 9, 'AST_DIM', 'dfsms/invoice.php', 10, 'AST_DIM', 'dfsms/invoices.php', 9, 'AST_DIM', 'dfsms/invoices.php', 10, 'AST_DIM', 'dfsms/manage-categories.php', 9, 'AST_DIM', 'dfsms/manage-categories.php', 10, 'AST_DIM', 'dfsms/manage-companies.php', 9, 'AST_DIM', 'dfsms/manage-companies.php', 10, 'AST_DIM', 'dfsms/view-invoice.php', 9, 'AST_DIM', 'dfsms/view-invoice.php', 10]"
cmpid,"['AST_VAR', 'dfsms/sales-report-details.php', 10, 'AST_VAR', 'dfsms/sales-report-details.php', 11, 'AST_VAR', 'dfsms/bwdate-report-details.php', 10, 'AST_VAR', 'dfsms/bwdate-report-details.php', 11, 'AST_VAR', 'dfsms/invoice.php', 10, 'AST_VAR', 'dfsms/invoice.php', 11, 'AST_VAR', 'dfsms/invoices.php', 10, 'AST_VAR', 'dfsms/invoices.php', 11, 'AST_VAR', 'dfsms/manage-categories.php', 10, 'AST_VAR', 'dfsms/manage-categories.php', 11, 'AST_VAR', 'dfsms/edit-company.php', 11, 'AST_VAR', 'dfsms/edit-company.php', 14, 'AST_VAR', 'dfsms/edit-company.php', 78, 'AST_VAR', 'dfsms/edit-company.php', 79, 'AST_VAR', 'dfsms/manage-companies.php', 10, 'AST_VAR', 'dfsms/manage-companies.php', 11, 'AST_VAR', 'dfsms/view-invoice.php', 10, 'AST_VAR', 'dfsms/view-invoice.php', 11]"
substr,"['AST_NAME', 'dfsms/sales-report-details.php', 10, 'AST_NAME', 'dfsms/bwdate-report-details.php', 10, 'AST_NAME', 'dfsms/invoice.php', 10, 'AST_NAME', 'dfsms/invoices.php', 10, 'AST_NAME', 'dfsms/manage-categories.php', 10, 'AST_NAME', 'dfsms/edit-category.php', 11, 'AST_NAME', 'dfsms/edit-category.php', 72, 'AST_NAME', 'dfsms/edit-company.php', 11, 'AST_NAME', 'dfsms/edit-company.php', 78, 'AST_NAME', 'dfsms/edit-product.php', 11, 'AST_NAME', 'dfsms/edit-product.php', 79, 'AST_NAME', 'dfsms/manage-companies.php', 10, 'AST_NAME', 'dfsms/view-invoice.php', 10, 'AST_NAME', 'dfsms/view-invoice.php', 77]"
base64_decode,"['AST_NAME', 'dfsms/sales-report-details.php', 10, 'AST_NAME', 'dfsms/bwdate-report-details.php', 10, 'AST_NAME', 'dfsms/invoice.php', 10, 'AST_NAME', 'dfsms/invoices.php', 10, 'AST_NAME', 'dfsms/manage-categories.php', 10, 'AST_NAME', 'dfsms/edit-category.php', 11, 'AST_NAME', 'dfsms/edit-category.php', 72, 'AST_NAME', 'dfsms/edit-company.php', 11, 'AST_NAME', 'dfsms/edit-company.php', 78, 'AST_NAME', 'dfsms/edit-product.php', 11, 'AST_NAME', 'dfsms/edit-product.php', 79, 'AST_NAME', 'dfsms/manage-companies.php', 10, 'AST_NAME', 'dfsms/view-invoice.php', 10, 'AST_NAME', 'dfsms/view-invoice.php', 77]"
5,"['AST_UNARY_OP', 'dfsms/sales-report-details.php', 10, 'AST_UNARY_OP', 'dfsms/bwdate-report-details.php', 10, 'AST_UNARY_OP', 'dfsms/invoice.php', 10, 'AST_UNARY_OP', 'dfsms/invoices.php', 10, 'AST_UNARY_OP', 'dfsms/manage-categories.php', 10, 'AST_UNARY_OP', 'dfsms/edit-category.php', 11, 'AST_UNARY_OP', 'dfsms/edit-category.php', 72, 'AST_UNARY_OP', 'dfsms/edit-company.php', 11, 'AST_UNARY_OP', 'dfsms/edit-company.php', 78, 'AST_UNARY_OP', 'dfsms/edit-product.php', 11, 'AST_UNARY_OP', 'dfsms/edit-product.php', 79, 'AST_UNARY_OP', 'dfsms/manage-companies.php', 10, 'AST_UNARY_OP', 'dfsms/view-invoice.php', 10, 'AST_UNARY_OP', 'dfsms/view-invoice.php', 77]"
delete from tblcategory where id=',"['AST_ENCAPS_LIST', 'dfsms/sales-report-details.php', 11, 'AST_ENCAPS_LIST', 'dfsms/bwdate-report-details.php', 11, 'AST_ENCAPS_LIST', 'dfsms/invoice.php', 11, 'AST_ENCAPS_LIST', 'dfsms/invoices.php', 11, 'AST_ENCAPS_LIST', 'dfsms/manage-categories.php', 11, 'AST_ENCAPS_LIST', 'dfsms/view-invoice.php', 11]"
fdate,"['AST_VAR', 'dfsms/sales-report-details.php', 59, 'AST_VAR', 'dfsms/sales-report-details.php', 63, 'AST_VAR', 'dfsms/sales-report-details.php', 86, 'AST_VAR', 'dfsms/bwdate-report-details.php', 59, 'AST_VAR', 'dfsms/bwdate-report-details.php', 63, 'AST_VAR', 'dfsms/bwdate-report-details.php', 90]"
fromdate,"['AST_DIM', 'dfsms/sales-report-details.php', 59, 'AST_DIM', 'dfsms/bwdate-report-details.php', 59]"
tdate,"['AST_VAR', 'dfsms/sales-report-details.php', 60, 'AST_VAR', 'dfsms/sales-report-details.php', 63, 'AST_VAR', 'dfsms/sales-report-details.php', 86, 'AST_VAR', 'dfsms/bwdate-report-details.php', 60, 'AST_VAR', 'dfsms/bwdate-report-details.php', 63, 'AST_VAR', 'dfsms/bwdate-report-details.php', 90]"
todate,"['AST_DIM', 'dfsms/sales-report-details.php', 60, 'AST_DIM', 'dfsms/bwdate-report-details.php', 60]"
 to ,"['AST_ECHO', 'dfsms/sales-report-details.php', 63, 'AST_ECHO', 'dfsms/bwdate-report-details.php', 63]"
rno,"['AST_VAR', 'dfsms/sales-report-details.php', 85, 'AST_VAR', 'dfsms/bwdate-report-details.php', 89, 'AST_VAR', 'dfsms/bwdate-report-details.php', 103, 'AST_VAR', 'dfsms/invoices.php', 83, 'AST_VAR', 'dfsms/invoices.php', 97, 'AST_VAR', 'dfsms/manage-categories.php', 81, 'AST_VAR', 'dfsms/manage-categories.php', 93, 'AST_VAR', 'dfsms/manage-categories.php', 94, 'AST_VAR', 'dfsms/manage-companies.php', 81, 'AST_VAR', 'dfsms/manage-companies.php', 92, 'AST_VAR', 'dfsms/manage-companies.php', 93, 'AST_VAR', 'dfsms/manage-products.php', 91, 'AST_VAR', 'dfsms/manage-products.php', 77]"
mt_rand,"['AST_NAME', 'dfsms/sales-report-details.php', 85, 'AST_NAME', 'dfsms/bwdate-report-details.php', 89, 'AST_NAME', 'dfsms/invoices.php', 83, 'AST_NAME', 'dfsms/manage-categories.php', 81, 'AST_NAME', 'dfsms/manage-companies.php', 81, 'AST_NAME', 'dfsms/manage-products.php', 77, 'AST_NAME', 'dfsms/search-product.php', 59]"
10000,"['AST_ARG_LIST', 'dfsms/sales-report-details.php', 85, 'AST_ARG_LIST', 'dfsms/bwdate-report-details.php', 89, 'AST_ARG_LIST', 'dfsms/invoices.php', 83, 'AST_ARG_LIST', 'dfsms/manage-categories.php', 81, 'AST_ARG_LIST', 'dfsms/manage-companies.php', 81, 'AST_ARG_LIST', 'dfsms/manage-products.php', 77]"
99999,"['AST_ARG_LIST', 'dfsms/sales-report-details.php', 85, 'AST_ARG_LIST', 'dfsms/bwdate-report-details.php', 89, 'AST_ARG_LIST', 'dfsms/invoices.php', 83, 'AST_ARG_LIST', 'dfsms/manage-categories.php', 81, 'AST_ARG_LIST', 'dfsms/manage-companies.php', 81, 'AST_ARG_LIST', 'dfsms/manage-products.php', 77]"
"select month(tblorders.InvoiceGenDate) as mnth,year(tblorders.InvoiceGenDate) as yearr,sum(tblorders.Quantity*tblproducts.ProductPrice) as tt  from tblorders join tblproducts on tblproducts.id=tblorders.ProductId  where date(tblorders.InvoiceGenDate) between '","['AST_ENCAPS_LIST', 'dfsms/sales-report-details.php', 86]"
' and ',"['AST_ENCAPS_LIST', 'dfsms/sales-report-details.php', 86, 'AST_ENCAPS_LIST', 'dfsms/bwdate-report-details.php', 90]"
"' group by mnth,yearr","['AST_ENCAPS_LIST', 'dfsms/sales-report-details.php', 86]"
cnt,"['AST_VAR', 'dfsms/sales-report-details.php', 87, 'AST_VAR', 'dfsms/sales-report-details.php', 92, 'AST_VAR', 'dfsms/sales-report-details.php', 98, 'AST_VAR', 'dfsms/bwdate-report-details.php', 91, 'AST_VAR', 'dfsms/bwdate-report-details.php', 96, 'AST_VAR', 'dfsms/bwdate-report-details.php', 107, 'AST_VAR', 'dfsms/invoice.php', 78, 'AST_VAR', 'dfsms/invoice.php', 117, 'AST_VAR', 'dfsms/invoice.php', 122, 'AST_VAR', 'dfsms/invoice.php', 133, 'AST_VAR', 'dfsms/invoices.php', 85, 'AST_VAR', 'dfsms/invoices.php', 90, 'AST_VAR', 'dfsms/invoices.php', 101, 'AST_VAR', 'dfsms/manage-categories.php', 83, 'AST_VAR', 'dfsms/manage-categories.php', 88, 'AST_VAR', 'dfsms/manage-categories.php', 98, 'AST_VAR', 'dfsms/edit-category.php', 74, 'AST_VAR', 'dfsms/edit-company.php', 80, 'AST_VAR', 'dfsms/manage-companies.php', 83, 'AST_VAR', 'dfsms/manage-companies.php', 88, 'AST_VAR', 'dfsms/manage-companies.php', 97, 'AST_VAR', 'dfsms/manage-products.php', 95, 'AST_VAR', 'dfsms/manage-products.php', 79, 'AST_VAR', 'dfsms/manage-products.php', 84, 'AST_VAR', 'dfsms/view-invoice.php', 79, 'AST_VAR', 'dfsms/view-invoice.php', 118, 'AST_VAR', 'dfsms/view-invoice.php', 123, 'AST_VAR', 'dfsms/view-invoice.php', 134, 'AST_VAR', 'dfsms/search-product.php', 174, 'AST_VAR', 'dfsms/search-product.php', 180, 'AST_VAR', 'dfsms/search-product.php', 192]"
1,"['AST_ASSIGN', 'dfsms/sales-report-details.php', 87, 'AST_ASSIGN', 'dfsms/bwdate-report-details.php', 91, 'AST_ASSIGN', 'dfsms/invoice.php', 78, 'AST_ASSIGN', 'dfsms/invoice.php', 117, 'AST_ASSIGN', 'dfsms/invoices.php', 85, 'AST_ASSIGN', 'dfsms/manage-categories.php', 83, 'AST_ASSIGN', 'dfsms/edit-category.php', 74, 'AST_ASSIGN', 'dfsms/edit-company.php', 80, 'AST_ASSIGN', 'dfsms/manage-companies.php', 83, 'AST_ASSIGN', 'dfsms/manage-products.php', 79, 'AST_ASSIGN', 'dfsms/view-invoice.php', 79, 'AST_ASSIGN', 'dfsms/view-invoice.php', 118, 'AST_ASSIGN', 'dfsms/search-product.php', 174]"
mnth,"['AST_DIM', 'dfsms/sales-report-details.php', 93]"
yearr,"['AST_DIM', 'dfsms/sales-report-details.php', 93]"
tt,"['AST_DIM', 'dfsms/sales-report-details.php', 94, 'AST_DIM', 'dfsms/dashboard.php', 125, 'AST_DIM', 'dfsms/dashboard.php', 147, 'AST_DIM', 'dfsms/dashboard.php', 169, 'AST_DIM', 'dfsms/dashboard.php', 191]"
submit,"['AST_DIM', 'dfsms/sales-report-ds.php', 9, 'AST_DIM', 'dfsms/add-category.php', 9, 'AST_DIM', 'dfsms/add-company.php', 9, 'AST_DIM', 'dfsms/add-product.php', 9, 'AST_DIM', 'dfsms/bwdate-report-ds.php', 9, 'AST_DIM', 'dfsms/change-password.php', 9]"
cname,"['AST_VAR', 'dfsms/sales-report-ds.php', 12, 'AST_VAR', 'dfsms/sales-report-ds.php', 13, 'AST_VAR', 'dfsms/add-company.php', 12, 'AST_VAR', 'dfsms/add-company.php', 13, 'AST_VAR', 'dfsms/edit-company.php', 13, 'AST_VAR', 'dfsms/edit-company.php', 14, 'AST_VAR', 'dfsms/bwdate-report-ds.php', 12, 'AST_VAR', 'dfsms/bwdate-report-ds.php', 13, 'AST_VAR', 'dfsms/search-product.php', 62, 'AST_VAR', 'dfsms/search-product.php', 67]"
companyname,"['AST_DIM', 'dfsms/sales-report-ds.php', 12, 'AST_DIM', 'dfsms/add-company.php', 12, 'AST_DIM', 'dfsms/edit-company.php', 13, 'AST_DIM', 'dfsms/bwdate-report-ds.php', 12]"
insert into tblcompany(CompanyName) values(',"['AST_ENCAPS_LIST', 'dfsms/sales-report-ds.php', 13, 'AST_ENCAPS_LIST', 'dfsms/add-company.php', 13, 'AST_ENCAPS_LIST', 'dfsms/bwdate-report-ds.php', 13]"
'),"['AST_ENCAPS_LIST', 'dfsms/sales-report-ds.php', 13, 'AST_ENCAPS_LIST', 'dfsms/add-category.php', 14, 'AST_ENCAPS_LIST', 'dfsms/add-company.php', 13, 'AST_ENCAPS_LIST', 'dfsms/add-product.php', 16, 'AST_ENCAPS_LIST', 'dfsms/bwdate-report-ds.php', 13, 'AST_ENCAPS_LIST', 'dfsms/search-product.php', 67]"
catname,"['AST_VAR', 'dfsms/add-category.php', 12, 'AST_VAR', 'dfsms/add-category.php', 14, 'AST_VAR', 'dfsms/add-product.php', 12, 'AST_VAR', 'dfsms/add-product.php', 16, 'AST_VAR', 'dfsms/edit-category.php', 13, 'AST_VAR', 'dfsms/edit-category.php', 15, 'AST_VAR', 'dfsms/edit-product.php', 13, 'AST_VAR', 'dfsms/edit-product.php', 17, 'AST_VAR', 'dfsms/edit-product.php', 88, 'AST_DIM', 'dfsms/search-product.php', 242, 'AST_ARRAY_ELEM', 'dfsms/search-product.php', 18]"
category,"['AST_DIM', 'dfsms/add-category.php', 12, 'AST_DIM', 'dfsms/add-product.php', 12, 'AST_DIM', 'dfsms/edit-category.php', 13, 'AST_DIM', 'dfsms/edit-product.php', 13]"
catcode,"['AST_VAR', 'dfsms/add-category.php', 13, 'AST_VAR', 'dfsms/add-category.php', 14, 'AST_VAR', 'dfsms/edit-category.php', 14, 'AST_VAR', 'dfsms/edit-category.php', 15]"
categorycode,"['AST_DIM', 'dfsms/add-category.php', 13, 'AST_DIM', 'dfsms/edit-category.php', 14]"
"insert into tblcategory(CategoryName,CategoryCode) values('","['AST_ENCAPS_LIST', 'dfsms/add-category.php', 14]"
"','","['AST_ENCAPS_LIST', 'dfsms/add-category.php', 14, 'AST_ENCAPS_LIST', 'dfsms/add-product.php', 16, 'AST_ENCAPS_LIST', 'dfsms/add-product.php', 16, 'AST_ENCAPS_LIST', 'dfsms/add-product.php', 16, 'AST_ENCAPS_LIST', 'dfsms/search-product.php', 67, 'AST_ENCAPS_LIST', 'dfsms/search-product.php', 67, 'AST_ENCAPS_LIST', 'dfsms/search-product.php', 67, 'AST_ENCAPS_LIST', 'dfsms/search-product.php', 67, 'AST_ENCAPS_LIST', 'dfsms/search-product.php', 67]"
company,"['AST_VAR', 'dfsms/add-product.php', 13, 'AST_DIM', 'dfsms/add-product.php', 13, 'AST_VAR', 'dfsms/add-product.php', 16, 'AST_VAR', 'dfsms/edit-product.php', 14, 'AST_DIM', 'dfsms/edit-product.php', 14, 'AST_VAR', 'dfsms/edit-product.php', 17]"
pname,"['AST_VAR', 'dfsms/add-product.php', 14, 'AST_VAR', 'dfsms/add-product.php', 16, 'AST_VAR', 'dfsms/edit-product.php', 15, 'AST_VAR', 'dfsms/edit-product.php', 17, 'AST_VAR', 'dfsms/search-product.php', 172, 'AST_VAR', 'dfsms/search-product.php', 173, 'AST_DIM', 'dfsms/search-product.php', 241, 'AST_ARRAY_ELEM', 'dfsms/search-product.php', 18]"
productname,"['AST_DIM', 'dfsms/add-product.php', 14, 'AST_DIM', 'dfsms/edit-product.php', 15, 'AST_DIM', 'dfsms/search-product.php', 172]"
pprice,"['AST_VAR', 'dfsms/add-product.php', 15, 'AST_VAR', 'dfsms/add-product.php', 16, 'AST_VAR', 'dfsms/edit-product.php', 16, 'AST_VAR', 'dfsms/edit-product.php', 17]"
productprice,"['AST_DIM', 'dfsms/add-product.php', 15, 'AST_DIM', 'dfsms/edit-product.php', 16]"
"insert into tblproducts(CategoryName,CompanyName,ProductName,ProductPrice) values('","['AST_ENCAPS_LIST', 'dfsms/add-product.php', 16]"
ret,"['AST_VAR', 'dfsms/add-product.php', 91, 'AST_VAR', 'dfsms/add-product.php', 92, 'AST_VAR', 'dfsms/add-product.php', 107, 'AST_VAR', 'dfsms/add-product.php', 108, 'AST_VAR', 'dfsms/edit-category.php', 73, 'AST_VAR', 'dfsms/edit-category.php', 75, 'AST_VAR', 'dfsms/edit-product.php', 90, 'AST_VAR', 'dfsms/edit-product.php', 91, 'AST_VAR', 'dfsms/edit-product.php', 106, 'AST_VAR', 'dfsms/edit-product.php', 107, 'AST_VAR', 'dfsms/change-password.php', 17, 'AST_VAR', 'dfsms/dashboard.php', 67, 'AST_VAR', 'dfsms/dashboard.php', 68, 'AST_VAR', 'dfsms/index.php', 10, 'AST_VAR', 'dfsms/index.php', 11, 'AST_VAR', 'dfsms/index.php', 12]"
select CategoryName from tblcategory,"['AST_ARG_LIST', 'dfsms/add-product.php', 91, 'AST_ARG_LIST', 'dfsms/edit-product.php', 90]"
CategoryName,"['AST_DIM', 'dfsms/add-product.php', 94, 'AST_DIM', 'dfsms/add-product.php', 94, 'AST_DIM', 'dfsms/invoice.php', 124, 'AST_DIM', 'dfsms/manage-categories.php', 89, 'AST_DIM', 'dfsms/edit-category.php', 80, 'AST_DIM', 'dfsms/edit-product.php', 88, 'AST_DIM', 'dfsms/edit-product.php', 88, 'AST_DIM', 'dfsms/edit-product.php', 93, 'AST_DIM', 'dfsms/edit-product.php', 93, 'AST_DIM', 'dfsms/manage-products.php', 85, 'AST_DIM', 'dfsms/view-invoice.php', 125, 'AST_DIM', 'dfsms/search-product.php', 181, 'AST_DIM', 'dfsms/search-product.php', 18]"
select CompanyName from tblcompany,"['AST_ARG_LIST', 'dfsms/add-product.php', 107, 'AST_ARG_LIST', 'dfsms/edit-product.php', 106]"
CompanyName,"['AST_DIM', 'dfsms/add-product.php', 110, 'AST_DIM', 'dfsms/add-product.php', 110, 'AST_DIM', 'dfsms/invoice.php', 125, 'AST_DIM', 'dfsms/edit-company.php', 87, 'AST_DIM', 'dfsms/edit-product.php', 104, 'AST_DIM', 'dfsms/edit-product.php', 104, 'AST_DIM', 'dfsms/edit-product.php', 109, 'AST_DIM', 'dfsms/edit-product.php', 109, 'AST_DIM', 'dfsms/manage-companies.php', 89, 'AST_DIM', 'dfsms/manage-products.php', 86, 'AST_DIM', 'dfsms/view-invoice.php', 126, 'AST_DIM', 'dfsms/search-product.php', 182, 'AST_DIM', 'dfsms/search-product.php', 18]"
"select distinct InvoiceNumber,CustomerName,CustomerContactNo,PaymentMode,InvoiceGenDate  from tblorders where date(InvoiceGenDate) between '","['AST_ENCAPS_LIST', 'dfsms/bwdate-report-details.php', 90]"
InvoiceNumber,"['AST_DIM', 'dfsms/bwdate-report-details.php', 97, 'AST_DIM', 'dfsms/bwdate-report-details.php', 103, 'AST_DIM', 'dfsms/invoice.php', 85, 'AST_DIM', 'dfsms/invoices.php', 91, 'AST_DIM', 'dfsms/invoices.php', 97, 'AST_DIM', 'dfsms/view-invoice.php', 86]"
CustomerName,"['AST_DIM', 'dfsms/bwdate-report-details.php', 98, 'AST_DIM', 'dfsms/invoice.php', 86, 'AST_DIM', 'dfsms/invoices.php', 92, 'AST_DIM', 'dfsms/view-invoice.php', 87]"
CustomerContactNo,"['AST_DIM', 'dfsms/bwdate-report-details.php', 99, 'AST_DIM', 'dfsms/invoice.php', 87, 'AST_DIM', 'dfsms/invoices.php', 93, 'AST_DIM', 'dfsms/view-invoice.php', 88]"
PaymentMode,"['AST_DIM', 'dfsms/bwdate-report-details.php', 100, 'AST_DIM', 'dfsms/invoice.php', 88, 'AST_DIM', 'dfsms/invoices.php', 94, 'AST_DIM', 'dfsms/view-invoice.php', 89]"
